"filename", "language", "PHP", "JSON", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\companies\index.blade.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 7, 128
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\dashboard.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 3, 38
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\users.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 2, 37
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\users\create.blade.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 9, 77
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\users\edit.blade.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 11, 115
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\users\index.blade.php", "PHP", 144, 0, 0, 0, 0, 0, 0, 10, 154
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\bootstrap-4.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 4, 47
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\bootstrap-5.blade.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 7, 89
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\default.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 4, 47
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\semantic-ui.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 4, 37
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\simple-bootstrap-4.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 2, 28
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\simple-bootstrap-5.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 2, 30
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\simple-default.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 2, 20
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\simple-tailwind.blade.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 2, 26
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\vendor\pagination\tailwind.blade.php", "PHP", 106, 0, 0, 0, 0, 0, 0, 7, 113
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\welcome.blade.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 1, 22
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\routes\auth.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 17, 60
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\routes\web.php", "PHP", 38, 0, 0, 0, 0, 0, 35, 10, 83
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tailwind.config.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 4, 23
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\Auth\AuthenticationTest.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 15, 55
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 16, 59
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 13, 45
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\Auth\PasswordResetTest.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 22, 74
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 11, 52
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\Auth\RegistrationTest.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 8, 32
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 4, 5, 20
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Feature\ProfileTest.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 24, 100
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 3, 4, 17
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\vite.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"Total", "-", 4670, 11958, 41, 33, 45, 3, 928, 1048, 18726
